x,Curve1
"0,1929","0,94993"
"0,6543","0,95577"
"1,0682","0,99124"
"1,5159","1,01938"
"1,9728","1,04552"
"2,4298","1,07167"
"2,8867","1,09781"
"3,3436","1,12396"
"3,8006","1,1501"
"4,2575","1,17624"
"4,7144","1,20239"
"5,1404","1,23429"
"5,5116","1,27639"
"5,8828","1,31848"
"6,254","1,36058"
"6,6252","1,40268"
"6,9965","1,44477"
"7,3677","1,48687"
"7,7389","1,52896"
"8,1101","1,57106"
"8,4813","1,61315"
"8,8525","1,65525"
"9,2237","1,69734"
"9,5949","1,73944"
"9,9661","1,78154"
"10,2847","1,82966"
"10,5945","1,87878"
"10,9043","1,9279"
"11,2142","1,97702"
"11,524","2,02613"
"11,8338","2,07525"
"12,1436","2,12437"
"12,4535","2,17349"
"12,7633","2,22261"
"13,0731","2,27173"
"13,3829","2,32085"
"13,6928","2,36997"
"14,0026","2,41909"
"14,3124","2,46821"
"14,6222","2,51733"
"14,9321","2,56645"
"15,2496","2,61481"
"15,5691","2,66297"
"15,8886","2,71112"
"16,2082","2,75928"
"16,5277","2,80744"
"16,8472","2,85559"
"17,1668","2,90375"
"17,4863","2,95191"
"17,8058","3,00006"
"18,1254","3,04822"
"18,4449","3,09638"
"18,7645","3,14454"
"19,084","3,19269"
"19,4035","3,24085"
"19,7231","3,28901"
"20,0446","3,33694"
"20,3948","3,38171"
"20,7451","3,42647"
"21,0953","3,47124"
"21,4456","3,516"
"21,7958","3,56077"
"22,1461","3,60553"
"22,4963","3,65029"
"22,8465","3,69506"
"23,1968","3,73982"
"23,547","3,78459"
"23,8973","3,82935"
"24,2475","3,87412"
"24,5978","3,91888"
"24,948","3,96365"
"25,298","4,00845"
"25,6479","4,05325"
"25,9978","4,09805"
"26,3477","4,14286"
"26,6976","4,18766"
"27,0475","4,23247"
"27,3974","4,27727"
"27,7474","4,32208"
"28,0973","4,36688"
"28,4472","4,41169"
"28,7971","4,45649"
"29,147","4,5013"
"29,4969","4,5461"
"29,8468","4,59091"
