x,Curve1
"0,2194","1,06064"
"0,5901","1,08465"
"1,1562","1,05997"
"1,9276","1,04348"
"2,6991","1,027"
"3,4705","1,01052"
"4,242","0,99403"
"5,0151","0,97848"
"5,8392","0,9913"
"6,6633","1,00413"
"7,4875","1,01695"
"8,3116","1,02977"
"9,1358","1,0426"
"9,9599","1,05542"
"10,823","1,04969"
"11,691","1,04165"
"12,559","1,03361"
"13,427","1,02557"
"14,295","1,01753"
"15,1114","1,00691"
"15,593","0,97955"
"16,0746","0,95219"
"16,5562","0,92483"
"17,0377","0,89746"
"17,5193","0,8701"
"18,0009","0,84274"
"18,4825","0,81537"
"18,9641","0,78801"
"19,4457","0,76065"
"19,9272","0,73328"
"20,3469","0,70464"
"20,7518","0,67569"
"21,1568","0,64674"
"21,5617","0,61778"
"21,9666","0,58883"
"22,3715","0,55988"
"22,7764","0,53093"
"23,1813","0,50197"
"23,5862","0,47302"
"23,9911","0,44407"
"24,396","0,41512"
"24,8009","0,38617"
"25,2068","0,35723"
"25,6137","0,32832"
"26,0207","0,2994"
"26,4276","0,27049"
"26,8345","0,24157"
"27,2415","0,21266"
"27,6484","0,18375"
"28,0553","0,15483"
"28,4623","0,12592"
"28,8692","0,097"
"29,2761","0,06809"
"29,6831","0,03917"
