x,asp
"0,1081","1,0344"
"0,5722","1,1593"
"1,1951","1,2971"
"1,7801","1,4693"
"2,3333","1,6673"
"2,9311","1,874"
"3,4208","2,0979"
"3,9877","2,3187"
"4,5531","2,5716"
"5,0731","2,7971"
"5,5831","3,0466"
"6,1339","3,2901"
"6,6589","3,5559"
"7,1838","3,7919"
"7,7167","4,0415"
"8,2577","4,3046"
"8,7747","4,5623"
"9,2916","4,8092"
"9,8006","5,0723"
"10,3656","5,3245"
"10,8865","5,5687"
"11,4074","5,8155"
"11,9324","6,0569"
"12,4933","6,3092"
"13,0103","6,5506"
"13,5392","6,792"
"14,1052","7,0213"
"14,6477","7,2564"
"15,2074","7,4846"
"15,7607","7,73"
"16,2822","7,9324"
"16,8483","8,1692"
"17,3966","8,402"
"17,9316","8,6071"
"18,507","8,8121"
"19,1058","8,9959"
"19,6972","9,2241"
"20,2505","9,4265"
"20,8291","9,6289"
"23,1563","10,378"
"24,3136","10,7483"
"25,4454","11,11"
"26,7041","11,4458"
"27,8866","11,7557"
"28,4715","11,9193"
"30,2829","12,3523"
"32,1491","12,8025"
"34,6158","13,3341"
"35,8453","13,5893"
"37,722","13,9446"
"38,9529","14,1564"
"40,1737","14,3819"
"42,1007","14,6894"
"45,2282","15,1813"
"47,1249","15,4614"
"48,3556","15,5912"
"49,6368","15,7825"
"50,0504","15,8303"
