x,muestreo
"0,0504","1,0092"
"0,9318","1,2326"
"1,8926","1,5067"
"2,3373","1,6539"
"3,1471","1,9584"
"4,2984","2,4406"
"5,0447","2,7731"
"5,8022","3,112"
"6,5324","3,4478"
"7,2826","3,7707"
"8,0228","4,0969"
"8,7631","4,4326"
"9,8834","4,9282"
"10,7037","5,2576"
"11,504","5,571"
"12,2942","5,8875"
"13,6648","6,3128"
"14,6152","6,575"
"15,6757","6,8372"
"16,8164","7,0163"
"17,977","7,1474"
"18,4273","7,1762"
"18,6775","7,1874"
"19,3029","7,1906"
"19,9479","7,1774"
"20,5531","7,1411"
"21,1583","7,0767"
"21,7699","7,0042"
"22,3247","6,9095"
"22,8799","6,7946"
"23,4002","6,6753"
"23,9086","6,5472"
"24,3932","6,4101"
"24,854","6,2693"
"26,6376","5,6894"
"27,8531","5,225"
"28,6874","4,9002"
"29,5057","4,5805"
"30,3002","4,2607"
"30,7133","4,0958"
"31,9368","3,639"
"32,3658","3,4918"
"32,7869","3,3345"
"33,645","3,0274"
"34,5189","2,7305"
"35,4166","2,4412"
"36,8545","2,0504"
"38,4274","1,6571"
"39,4363","1,4338"
"40,5484","1,2181"
"41,6764","1,0328"
"42,8837","0,8704"
"44,6471","0,6497"
"45,8942","0,533"
"47,1492","0,4315"
"48,3724","0,3528"
"49,6511","0,2793"
"49,9768","0,2488"
