x,vel_14ms
"-89,979","1,00073"
"-73,134","0,99843"
"-56,391","0,99007"
"-47,97","0,98249"
"-42,657","0,97528"
"-37,045","0,9624"
"-31,633","0,94422"
"-27,926","0,92907"
"-25,022","0,909"
"-22,62","0,8859"
"-19,618","0,85182"
"-16,817","0,81206"
"-14,32","0,75792"
"-11,226","0,67765"
"-9,63","0,63259"
"-8,436","0,57807"
"-5,549","0,46183"
"-3,26","0,36377"
"-0,969","0,28123"
"1,23","0,23995"
"2,522","0,21882"
"3,754","0,21071"
"5,543","0,20049"
"7,571","0,19327"
"11,032","0,19101"
"14,495","0,19311"
"20,343","0,19085"
"22,377","0,18937"
"23,68","0,18577"
"24,682","0,18293"
"25,834","0,1746"
"27,084","0,1604"
"27,934","0,14412"
"28,833","0,1267"
"29,232","0,11402"
"30,433","0,10285"
"32,888","0,0913"
"35,695","0,08788"
"39,554","0,08314"
"43,915","0,07897"
"48,025","0,0765"
"55,244","0,07555"
"60,508","0,07364"
"72,791","0,07514"
"92,343","0,07397"
"119,415","0,07506"
"162,429","0,07536"
"196,721","0,07606"
"275,129","0,07479"
"279,34","0,07592"
