x,sed
"-0,0618","-0,001418"
"0,4945","-0,000508"
"1,2893","0,000402"
"2,2828","0,001312"
"3,2366","0,003133"
"4,1903","0,004954"
"5,1838","0,006775"
"6,1376","0,009507"
"7,0517","0,01315"
"8,0054","0,015882"
"8,9592","0,020436"
"9,8733","0,02499"
"10,8271","0,029544"
"11,7411","0,03501"
"12,6552","0,039564"
"13,5692","0,04594"
"14,4833","0,052316"
"15,3576","0,057781"
"16,2717","0,065068"
"17,1461","0,071445"
"18,0601","0,079643"
"18,9345","0,08693"
"19,8088","0,095128"
"20,6832","0,103327"
"21,5575","0,111525"
"22,4319","0,120634"
"23,3062","0,128833"
"24,1806","0,137942"
"25,0549","0,147051"
"25,8896","0,157072"
"26,7242","0,167092"
"27,5986","0,177112"
"28,4729","0,187133"
"29,2678","0,197153"
"30,1422","0,207174"
"30,9768","0,218105"
"31,8115","0,229036"
"32,6461","0,239968"
"33,4807","0,250899"
"34,3154","0,261831"
"35,1103","0,272762"
"35,9449","0,284605"
"36,7398","0,295536"
"37,5745","0,307379"
"38,3694","0,319221"
"39,1643","0,330153"
"39,9989","0,341995"
"40,7938","0,353838"
"41,5887","0,36568"
"42,3837","0,378434"
"43,1786","0,389365"
"43,9735","0,402119"
"44,7684","0,413961"
"45,603","0,426715"
"47,5108","0,454955"
"48,3057","0,466797"
"49,1006","0,479551"
"49,8955","0,492304"
