x,transport_loss
"0,1432","-0,00047"
"1,1368","-0,00047"
"1,9715","0,00134"
"2,9651","0,00315"
"3,919","0,00496"
"4,9127","0,00677"
"5,8665","0,01039"
"6,8602","0,01401"
"7,814","0,01764"
"8,7679","0,02307"
"9,682","0,03032"
"10,6358","0,03939"
"11,5896","0,04845"
"12,5037","0,05933"
"13,378","0,07202"
"14,292","0,08834"
"15,1663","0,10285"
"16,0405","0,12098"
"16,875","0,14092"
"17,7094","0,16268"
"18,5041","0,18444"
"19,2988","0,20983"
"20,0537","0,23522"
"20,8484","0,26242"
"21,6033","0,28962"
"22,3184","0,31864"
"23,0733","0,34947"
"23,7885","0,37848"
"24,5036","0,40931"
"25,2187","0,44014"
"25,9338","0,47278"
"26,6489","0,50361"
"27,3641","0,53444"
"28,0792","0,56345"
"28,8341","0,59609"
"29,5095","0,62511"
"30,2643","0,65412"
"31,0192","0,68314"
"31,7741","0,71034"
"32,5291","0,73573"
"33,3237","0,76111"
"34,1185","0,78287"
"34,9529","0,80645"
"35,7873","0,82821"
"36,6218","0,84634"
"37,4961","0,86447"
"38,3703","0,88079"
"39,2446","0,89711"
"40,1586","0,9098"
"41,0727","0,92068"
"42,1457","0,937"
"43,0995","0,94244"
"44,0136","0,9515"
"44,9674","0,95875"
"45,9213","0,96419"
"46,8751","0,97144"
"47,829","0,97506"
"48,8226","0,97868"
"49,7765","0,98231"
