x,Curve1
"0,0618","1,000279"
"0,5091","1,001537"
"1,3559","1,00559"
"2,2408","1,010202"
"3,1067","1,015652"
"3,9726","1,020962"
"5,2858","1,030324"
"7,3791","1,046255"
"9,5201","1,062884"
"11,6135","1,08077"
"13,6836","1,098702"
"14,3029","1,103582"
"14,9675","1,109349"
"15,6019","1,114673"
"16,2665","1,12044"
"16,9009","1,126208"
"17,5655","1,131531"
"18,1999","1,137299"
"18,8343","1,143066"
"19,499","1,14839"
"20,1636","1,154157"
"20,798","1,159925"
"21,4626","1,165248"
"22,097","1,171016"
"22,7616","1,176339"
"23,4262","1,181663"
"24,0606","1,18743"
"24,7252","1,192754"
"25,3898","1,198078"
"26,0242","1,203845"
"26,719","1,208725"
"27,3836","1,214049"
"28,018","1,219817"
"28,6827","1,22514"
"29,3473","1,23002"
"30,0119","1,235344"
"30,7067","1,240224"
"31,3713","1,245548"
"32,0359","1,250872"
"32,7005","1,255752"
"33,3651","1,260632"
"34,0599","1,265956"
"34,7245","1,270836"
"35,4194","1,275716"
"36,084","1,280596"
"36,7788","1,285476"
"37,4434","1,289913"
"38,1382","1,294793"
"38,833","1,29923"
"39,4976","1,30411"
"40,1622","1,308103"
"40,7966","1,312983"
"41,4612","1,317196"
"42,1258","1,321412"
"46,8083","1,351581"
"47,5031","1,355775"
"48,2281","1,359123"
"48,9229","1,363116"
"49,6178","1,367109"
