x,Curve1
"-0,0426","-0,00166"
"0,2411","-0,00045"
"0,9501","-0,00045"
"1,6591","-0,00046"
"2,3682","-0,00046"
"3,0772","-0,00046"
"3,7863","-0,00046"
"4,4953","-0,00046"
"5,2043","-0,00046"
"5,2894","0,00074"
"5,9985","0,00195"
"6,7075","0,00195"
"7,4166","0,00315"
"8,0973","0,00436"
"8,8063","0,00556"
"9,5154","0,00677"
"10,1961","0,01039"
"10,9052","0,0128"
"11,5859","0,01642"
"12,2666","0,02125"
"12,9474","0,02607"
"13,6281","0,03211"
"14,2805","0,04055"
"14,9613","0,04779"
"15,6421","0,05745"
"16,2946","0,06831"
"16,947","0,08038"
"17,5995","0,09365"
"18,2237","0,10813"
"18,8194","0,12262"
"19,4152","0,13831"
"20,0111","0,15641"
"20,5785","0,1733"
"21,146","0,19141"
"21,6851","0,20951"
"22,2242","0,23003"
"22,735","0,24934"
"23,2457","0,26985"
"23,7565","0,29158"
"24,2673","0,3121"
"24,7781","0,33382"
"25,2605","0,35554"
"25,7429","0,37727"
"26,2253","0,39899"
"26,7078","0,42072"
"27,1902","0,44244"
"27,701","0,46537"
"28,1834","0,48709"
"28,6375","0,50882"
"29,1483","0,53175"
"29,6307","0,55227"
"30,1131","0,57399"
"30,6239","0,59571"
"31,1347","0,61623"
"31,6455","0,63795"
"32,1562","0,65847"
"32,667","0,67899"
"33,2061","0,6983"
"33,7452","0,71761"
"34,2843","0,73571"
"34,8234","0,75381"
"35,3909","0,77192"
"35,9583","0,78881"
"36,5258","0,8045"
"37,0932","0,82019"
"37,689","0,83588"
"38,2848","0,85036"
"38,8805","0,86364"
"39,4763","0,87571"
"40,1004","0,88898"
"40,7245","0,90105"
"44,0718","0,95173"
"44,7526","0,95777"
"45,4333","0,96501"
"46,0858","0,97225"
"46,7665","0,97707"
"47,4472","0,98311"
"48,128","0,98793"
"48,8087","0,99276"
"49,4894","0,99638"
