x,Curve1
"-0,0242","0,0339431"
"-0,0109","0,0212338"
"-0,0108","0,021122"
"-0,0106","0,0232873"
"-0,0097","0,0302549"
"-0,0027","0,026485"
"0,0188","0,0202465"
"0,0189","0,0202121"
"0,0478","0,0120389"
"0,0479","0,0120016"
"0,048","0,0159498"
"0,0482","0,0183578"
"0,0483","0,0182951"
"0,0485","0,0182321"
"0,0486","0,0181688"
"0,0767","0,0048873"
"0,0769","0,0048241"
"0,077","0,0069306"
"0,0772","0,0069794"
"0,0773","0,0071044"
"0,0775","0,0110519"
"0,0776","0,0110172"
"0,1064","0,0038578"
"0,1066","0,0038657"
"0,1363","0,0018224"
"0,2261","0,0008007"
"0,7955","0,000269"
"1,5149","0,0001459"
"2,2643","0,0001045"
"3,0137","0,000104"
"3,7631","0,0001035"
"4,5124","6,21e-05"
"5,2618","6,16e-05"
"6,0112","6,11e-05"
"6,7606","6,05e-05"
"7,51",6e-05
"8,2593","5,95e-05"
"9,0087","5,9e-05"
"9,7581","5,85e-05"
"10,5075","5,8e-05"
"11,2569","5,74e-05"
"12,0063","5,69e-05"
"12,7557","5,64e-05"
"13,535","-2,59e-05"
"14,2844","-2,64e-05"
"15,0338","-2,69e-05"
"15,7831","-2,74e-05"
"16,5325","-2,79e-05"
"17,2819","-2,85e-05"
"18,0313","-2,9e-05"
"18,7807","-2,95e-05"
"19,5301",-3e-05
"20,0022","-9,9e-06"
"20,6092","-3,08e-05"
"21,3586","-3,13e-05"
"22,1079","-3,18e-05"
"22,8573","-3,23e-05"
"23,6067","-3,28e-05"
"24,3561","-3,34e-05"
"25,1055","-3,39e-05"
"25,8549","-3,44e-05"
"26,6042","-3,49e-05"
"27,3536","-3,54e-05"
"28,103","-3,59e-05"
"28,8524","-3,65e-05"
"29,6018","-3,7e-05"
"30,0155","-3,86e-05"
"30,6809","-3,77e-05"
"31,4303","-3,82e-05"
"32,1797","-3,88e-05"
"32,929","-3,93e-05"
"33,6784","-3,98e-05"
"34,4278","-4,03e-05"
"35,1772","-4,08e-05"
"35,9266","-4,14e-05"
"36,676","-4,19e-05"
"37,4253","-4,24e-05"
"38,1747","-4,29e-05"
"38,9241","-4,34e-05"
"39,6735","-4,39e-05"
"40,0332","-8,51e-05"
"40,7526","-4,47e-05"
"41,502","-4,52e-05"
"42,2514","-4,57e-05"
"43,0008","-4,62e-05"
"43,7501","-4,68e-05"
"44,4995","-4,73e-05"
"45,2489","-4,78e-05"
"45,9983","-4,83e-05"
"46,7477","-4,88e-05"
"47,4971","-4,94e-05"
"48,2464","-4,99e-05"
"48,9958","-5,04e-05"
"49,7452","-5,09e-05"
