x,Curve1
"0,1888","1,00048"
"1,1211","1,00333"
"2,2186","1,00238"
"3,3868","0,9981"
"4,0123","0,99476"
"5,3222","0,98286"
"6,3252","0,9719"
"7,2103","0,95714"
"8,9214","0,92524"
"10,3139","0,8919"
"11,9306","0,84952"
"13,5945","0,79667"
"14,2864","0,77108"
"14,8514","0,75188"
"15,3867","0,73149"
"15,9219","0,71109"
"16,4572","0,68949"
"16,9627","0,66909"
"17,4979","0,64629"
"18,0034","0,62469"
"18,509","0,60309"
"18,9847","0,58149"
"19,4903","0,5587"
"19,966","0,5359"
"20,4715","0,5131"
"20,9473","0,4903"
"21,4231","0,4675"
"21,8989","0,4447"
"22,3747","0,4219"
"22,8504","0,39911"
"23,3262","0,37631"
"23,802","0,35231"
"24,2778","0,32951"
"24,7536","0,30671"
"25,2293","0,28391"
"25,7348","0,26111"
"26,2106","0,23832"
"26,6864","0,21552"
"27,1919","0,19272"
"27,6677","0,16992"
"28,1732","0,14832"
"28,6787","0,12672"
"29,214","0,10512"
"29,7492","0,08473"
"30,2845","0,06553"
"30,8495","0,04633"
"31,4442","0,02953"
"32,0389","0,01393"
