x,Curve1
"0,5166","0,00099"
"1,2544","0,00337"
"1,9627","0,00696"
"2,671","0,01293"
"3,3794","0,02011"
"4,0582","0,02847"
"4,7665","0,03804"
"5,4453","0,0488"
"6,1241","0,06076"
"6,7734","0,07511"
"7,3932","0,08827"
"8,0425","0,10381"
"8,6623","0,11936"
"9,2821","0,1361"
"9,8723","0,15285"
"10,4626","0,17079"
"11,0529","0,18873"
"11,6432","0,20667"
"12,1744","0,22581"
"12,7352","0,24494"
"13,2959","0,26408"
"13,8272","0,28322"
"14,3584","0,30475"
"14,9192","0,32508"
"15,4504","0,34541"
"15,9522","0,36575"
"16,4834","0,38728"
"17,0147","0,40881"
"17,5164","0,43034"
"18,0182","0,45187"
"18,5494","0,47339"
"19,0512","0,49492"
"19,5529","0,51645"
"20,0546","0,53798"
"20,5564","0,56071"
"21,0581","0,58224"
"21,5599","0,60377"
"22,0616","0,6265"
"22,5633","0,64803"
"23,0651","0,66956"
"23,5668","0,69109"
"24,0686","0,71262"
"24,5703","0,73534"
"25,072","0,75687"
"25,6033","0,7784"
"26,105","0,79874"
"26,6363","0,82026"
"27,1675","0,8406"
"27,6988","0,86093"
"28,2595","0,88126"
"28,7908","0,89921"
"29,3516","0,91834"
"29,9123","0,93628"
"30,5026","0,95183"
"31,0929","0,96738"
"31,7126","0,98293"
"32,3619","0,99249"
